id,taxon,common_name,family,type,checklist_distribution_rarity,inat_sg_observations_raw,inat_sg_observations_excl_bulk_user,inat_sg_research_grade_excl_bulk_user,inat_global_observations_excl_bulk_user,inat_bucket
70,Macromia cincta,Stream Cruiser,Macromiidae,anisoptera,Restricted & Rare,77,77,72,95,many records (51-150)
18,Agriocnemis pygmaea,Wandering Wisp,Coenagrionidae,zygoptera,Widespread but Rare,87,82,71,9026,many records (51-150)
99,Orchithemis pruinans,Blue Sentinel,Libellulidae,anisoptera,Restricted & Rare,89,89,82,128,many records (51-150)
116,Risiophlebia dohrni,Potbellied Elf,Libellulidae,anisoptera,Restricted & Rare,95,95,92,152,many records (51-150)
27,Mortonagrion arthuri,Arthur's Midget,Coenagrionidae,zygoptera,Restricted & Rare,96,96,90,130,many records (51-150)
34,Pseudagrion rubriceps,Orange-faced Sprite,Coenagrionidae,zygoptera,Widespread but Rare,97,97,97,2668,many records (51-150)
43,Drepanosticta quadrata,Singapore Shadowdamsel,Platystictidae,zygoptera,Restricted but Common,97,97,96,153,many records (51-150)
6,Libellago hyalina,Clearwing Gem,Chlorocyphidae,zygoptera,Restricted but Common,101,101,96,359,many records (51-150)
10,Euphaea impar,Blue-sided Satinwing,Euphaeidae,zygoptera,Widespread & Common,120,120,116,494,many records (51-150)
73,Aethriamanta aethra,Blue Adjutant,Libellulidae,anisoptera,Widespread but Uncommon,128,124,103,379,many records (51-150)
77,Agrionoptera sexlineata,Handsome Grenadier,Libellulidae,anisoptera,Widespread but Uncommon,137,137,136,320,many records (51-150)
126,Zyxomma petiolatum,Slender Duskdarter,Libellulidae,anisoptera,Widespread & Common,228,139,132,2127,many records (51-150)
51,Gynacantha dohrni,Spear-tailed Duskhawker,Aeshnidae,anisoptera,Widespread but Uncommon,153,152,117,187,abundant records (150+)
41,Copera marginipes,Yellow Featherlegs,Platycnemididae,zygoptera,Widespread & Common,158,153,141,9699,abundant records (150+)
119,Tramea transmarina,Saddlebag Glider,Libellulidae,anisoptera,Widespread & Common,156,153,138,942,abundant records (150+)
89,Hydrobasileus croceus,Water Monarch,Libellulidae,anisoptera,Widespread & Common,164,158,150,797,abundant records (150+)
35,Teinobasis ruficollis,Red-tailed Sprite,Coenagrionidae,zygoptera,Widespread but Rare,161,160,158,210,abundant records (150+)
48,Anax guttatus,Emperor,Aeshnidae,anisoptera,Widespread but Uncommon,166,162,138,1162,abundant records (150+)
25,Ceriagrion chaoi,Fiery Coraltail,Coenagrionidae,zygoptera,Restricted & Rare,163,163,153,346,abundant records (150+)
1,Devadatta argyoides,Malayan Grisette,Devadattidae,zygoptera,Restricted & Uncommon,173,169,165,405,abundant records (150+)
52,Gynacantha subinterrupta,Dingy Duskhawker,Aeshnidae,anisoptera,Widespread but Uncommon,204,170,112,1479,abundant records (150+)
90,Indothemis limbata,Restless Demon,Libellulidae,anisoptera,Restricted & Uncommon,173,171,166,301,abundant records (150+)
69,Idionyx yolanda,Shadowdancer,Synthemistidae,anisoptera,Widespread but Uncommon,184,179,166,189,abundant records (150+)
84,Cratilla lineata,Lined Forest Skimmer,Libellulidae,anisoptera,Widespread but Uncommon,182,181,170,1420,abundant records (150+)
107,Pornothemis starrei,Mangrove Marshal,Libellulidae,anisoptera,Widespread but Uncommon,207,207,200,261,abundant records (150+)
29,Onychargia atrocyana,Shorttail,Platycnemididae,zygoptera,Widespread but Uncommon,222,211,197,2516,abundant records (150+)
31,Pseudagrion australasiae,Look-alike Sprite,Coenagrionidae,zygoptera,Restricted & Uncommon,242,230,204,640,abundant records (150+)
33,Pseudagrion pruinosum,Grey Sprite,Coenagrionidae,zygoptera,Restricted but Common,230,230,204,1029,abundant records (150+)
23,Argiocnemis rubescens,Variable Sprite,Coenagrionidae,zygoptera,Widespread but Uncommon,239,239,227,2808,abundant records (150+)
7,Libellago lineata,Golden Gem,Chlorocyphidae,zygoptera,Widespread & Common,249,246,234,1749,abundant records (150+)
112,Rhyothemis obsolescens,Bronze Flutterer,Libellulidae,anisoptera,Widespread but Uncommon,263,248,245,613,abundant records (150+)
95,Nesoxenia lineata,Striped Grenadier,Libellulidae,anisoptera,Widespread but Uncommon,265,261,252,347,abundant records (150+)
109,Pseudothemis jorina,Banded Skimmer,Libellulidae,anisoptera,Widespread but Uncommon,277,263,256,661,abundant records (150+)
74,Aethriamanta brevipennis,Scarlet Adjutant,Libellulidae,anisoptera,Widespread but Uncommon,308,296,275,2236,abundant records (150+)
110,Raphismia bispina,Mangrove Dwarf,Libellulidae,anisoptera,Widespread but Uncommon,317,315,305,587,abundant records (150+)
106,Pantala flavescens,Wandering Glider,Libellulidae,anisoptera,Widespread & Common,389,342,312,35801,abundant records (150+)
108,Potamarcha congener,Common Chaser,Libellulidae,anisoptera,Widespread & Common,354,349,337,6551,abundant records (150+)
40,Coeliccia octogesima,Telephone Sylvan,Platycnemididae,zygoptera,Restricted but Common,395,388,379,423,abundant records (150+)
22,Archibasis viola,Violet Sprite,Coenagrionidae,zygoptera,Widespread & Common,400,398,349,518,abundant records (150+)
115,Rhyothemis triangularis,Sapphire Flutterer,Libellulidae,anisoptera,Widespread but Uncommon,431,421,418,1573,abundant records (150+)
11,Lestes praemorsus,Crenulated Spreadwing,Lestidae,zygoptera,Widespread but Uncommon,452,450,448,1157,abundant records (150+)
14,Podolestes orientalis,Blue-spotted Flatwing,Argiolestidae,zygoptera,Restricted & Uncommon,464,464,458,625,abundant records (150+)
47,Prodasineura notostigma,Crescent Threadtail,Platycnemididae,zygoptera,Widespread & Common,473,470,430,562,abundant records (150+)
93,Macrodiplax cora,Coastal Glider,Libellulidae,anisoptera,Widespread & Common,673,516,494,3347,abundant records (150+)
19,Amphicnemis gracilis,Will-o-wisp,Coenagrionidae,zygoptera,Restricted but Common,548,547,522,618,abundant records (150+)
87,Diplacodes nebulosa,Black-tipped Percher,Libellulidae,anisoptera,Widespread but Uncommon,590,562,555,1580,abundant records (150+)
81,Brachythemis contaminata,Common Amberwing,Libellulidae,anisoptera,Widespread & Common,644,600,579,21113,abundant records (150+)
94,Nannophya pygmaea,Scarlet Pygmy,Libellulidae,anisoptera,Widespread & Common,653,610,602,1595,abundant records (150+)
121,Trithemis festiva,Indigo Dropwing,Libellulidae,anisoptera,Widespread & Common,663,640,626,8871,abundant records (150+)
82,Camacinia gigantea,Sultan,Libellulidae,anisoptera,Widespread but Uncommon,711,664,663,1108,abundant records (150+)
103,Orthetrum luzonicum,Slender Blue Skimmer,Libellulidae,anisoptera,Widespread & Common,784,701,668,4940,abundant records (150+)
118,Tholymis tillarga,White-barred Duskhawk,Libellulidae,anisoptera,Widespread & Common,1316,744,738,6984,abundant records (150+)
16,Agriocnemis femina,Variable Wisp,Coenagrionidae,zygoptera,Widespread & Common,860,758,675,4797,abundant records (150+)
122,Trithemis pallidinervis,Dancing Dropwing,Libellulidae,anisoptera,Widespread but Uncommon,1437,789,769,3493,abundant records (150+)
72,Acisoma panorpoides,Trumpet Tail,Libellulidae,anisoptera,Widespread & Common,842,823,815,6952,abundant records (150+)
61,Ictinogomphus decoratus,Common Flangetail,Gomphidae,anisoptera,Widespread & Common,874,864,850,2926,abundant records (150+)
75,Aethriamanta gracilis,Pond Adjutant,Libellulidae,anisoptera,Widespread & Common,907,890,834,1199,abundant records (150+)
45,Prodasineura humeralis,Orange-striped Threadtail,Platycnemididae,zygoptera,Widespread & Common,966,906,860,1212,abundant records (150+)
125,Urothemis signata,Scarlet Basker,Libellulidae,anisoptera,Widespread & Common,979,954,906,4771,abundant records (150+)
3,Vestalis amethystina,Common Flashwing,Calopterygidae,zygoptera,Restricted but Common,1059,978,822,1398,abundant records (150+)
111,Rhodothemis rufa,Common Redbolt,Libellulidae,anisoptera,Widespread & Common,1133,981,913,3710,abundant records (150+)
88,Diplacodes trivialis,Blue Percher,Libellulidae,anisoptera,Widespread & Common,1071,1051,1037,33472,abundant records (150+)
105,Orthetrum testaceum,Scarlet Skimmer,Libellulidae,anisoptera,Widespread & Common,1179,1082,967,5084,abundant records (150+)
85,Cratilla metallica,Dark-tipped Forest Skimmer,Libellulidae,anisoptera,Widespread & Common,1234,1178,1162,1693,abundant records (150+)
26,Ischnura senegalensis,Common Bluetail,Coenagrionidae,zygoptera,Widespread & Common,1876,1258,1163,21961,abundant records (150+)
44,Prodasineura collaris,Collared Threadtail,Platycnemididae,zygoptera,Restricted & Uncommon,1353,1312,1224,1503,abundant records (150+)
24,Ceriagrion cerinorubellum,Ornate Coraltail,Coenagrionidae,zygoptera,Widespread & Common,1795,1427,1398,4569,abundant records (150+)
123,Tyriobapta torrida,Treehugger,Libellulidae,anisoptera,Widespread & Common,1546,1455,1443,2539,abundant records (150+)
91,Lathrecista asiatica,Scarlet Grenadier,Libellulidae,anisoptera,Widespread & Common,1922,1768,1755,6066,abundant records (150+)
104,Orthetrum sabina,Variegated Green Skimmer,Libellulidae,anisoptera,Widespread & Common,1902,1780,1752,29946,abundant records (150+)
100,Orchithemis pulcherrima,Variable Sentinel,Libellulidae,anisoptera,Widespread & Common,1872,1799,1745,2375,abundant records (150+)
102,Orthetrum glaucum,Common Blue Skimmer,Libellulidae,anisoptera,Widespread & Common,1952,1839,1652,15480,abundant records (150+)
113,Rhyothemis phyllis,Yellow-barred Flutterer,Libellulidae,anisoptera,Widespread & Common,2110,1875,1859,14783,abundant records (150+)
78,Brachydiplax chalybea,Blue Dasher,Libellulidae,anisoptera,Widespread & Common,1964,1939,1896,8997,abundant records (150+)
101,Orthetrum chrysis,Spine-tufted Skimmer,Libellulidae,anisoptera,Widespread & Common,2447,2168,2075,7281,abundant records (150+)
32,Pseudagrion siamense,Blue Sprite,Coenagrionidae,zygoptera,Widespread & Common,2709,2205,1894,4050,abundant records (150+)
76,Agrionoptera insignis,Grenadier,Libellulidae,anisoptera,Widespread & Common,2416,2286,2246,5058,abundant records (150+)
120,Trithemis aurora,Crimson Dropwing,Libellulidae,anisoptera,Widespread & Common,3528,3139,3052,20389,abundant records (150+)
86,Crocothemis servilia,Common Scarlet,Libellulidae,anisoptera,Widespread & Common,6340,4596,4442,31416,abundant records (150+)
97,Neurothemis fluctuans,Common Parasol,Libellulidae,anisoptera,Widespread & Common,9387,6476,6374,12259,abundant records (150+)
